gelir_id,tarih,ogrenci_id,paket_id,gelir_turu,tutar,odeme_yontemi,taksit_mi
1,15.10.2025,2,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
2,15.10.2025,3,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
3,15.10.2025,25,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
4,15.10.2025,26,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
5,15.10.2025,27,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
6,15.10.2025,28,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
7,15.10.2025,29,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
8,15.10.2025,30,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
9,15.10.2025,31,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
10,15.10.2025,32,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
11,15.10.2025,33,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
12,15.10.2025,41,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
13,15.10.2025,42,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
14,15.10.2025,43,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
15,15.10.2025,44,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
16,15.10.2025,45,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
17,15.10.2025,46,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
18,15.10.2025,47,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
19,15.10.2025,48,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
20,15.10.2025,49,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
21,15.10.2025,50,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
22,15.10.2025,51,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
23,15.10.2025,52,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
24,15.10.2025,53,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
25,15.10.2025,54,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
26,15.10.2025,55,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
27,15.10.2025,56,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
28,15.10.2025,57,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
29,15.10.2025,58,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
30,15.10.2025,59,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
31,15.10.2025,60,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
32,15.10.2025,61,1,Kayıt Ücreti,"₺20.890,00",Havale/EFT,Hayır
33,15.10.2025,62,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
34,15.10.2025,63,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
35,15.10.2025,64,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
36,15.10.2025,65,1,Kayıt Ücreti,"₺20.890,00",Nakit,Hayır
