gider_id,tarih,kategori,tutar,aciklama,odeme_yontemi
1,01.10.2025,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
2,15.10.2025,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
3,17.10.2025,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
4,20.10.2025,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
5,26.10.2025,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
6,31.10.2025,Temizlik,"₺10.000,00",temizlik,Nakit
7,31.10.2025,Kitap & Kaynak Alımı,"₺15.000,00",Kaynak Kitap,Havale/EFT
8,31.10.2025,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
9,01.11.2025,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
10,15.11.2025,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
11,17.11.2025,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
12,20.11.2025,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
13,26.11.2025,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
14,30.11.2025,Temizlik,"₺10.000,00",temizlik,Nakit
15,30.11.2025,Kitap & Kaynak Alımı,"₺15.000,00",Kaynak Kitap,Havale/EFT
16,30.11.2025,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
17,01.12.2025,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
18,15.12.2025,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
19,17.12.2025,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
20,20.12.2025,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
21,26.12.2025,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
22,30.12.2025,Temizlik,"₺10.000,00",temizlik,Nakit
23,30.12.2025,Kitap & Kaynak Alımı,"₺15.000,00",Kaynak Kitap,Havale/EFT
24,30.12.2025,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
25,01.01.2026,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
26,15.01.2026,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
27,17.01.2026,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
28,20.01.2026,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
29,26.01.2026,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
30,30.1.2026,Temizlik,"₺10.000,00",temizlik,Nakit
31,30.1.2026,Kırtasiye-Fotokopi,"₺7.500,00",Deneme Sınavı,Havale/EFT
32,30.1.2026,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
33,01.02.2026,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
34,15.02.2026,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
35,17.02.2026,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
36,20.02.2026,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
37,26.02.2026,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
38,28.2.2026,Temizlik,"₺10.000,00",temizlik,Nakit
39,28.2.2026,Kırtasiye-Fotokopi,"₺7.500,00",Deneme Sınavı,Havale/EFT
40,28.2.2026,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
41,01.03.2026,Kira,"₺45.000,00",Dershane Kira,Havale/EFT
42,15.03.2026,Personel Maaşı,"₺250.000,00",personal gideri,Havale/EFT
43,17.03.2026,Elek./Su/Doğalgaz,"₺15.000,00",gider,Havale/EFT
44,20.03.2026,reklam&tanitim,"₺10.000,00",reklam gideri,Havale/EFT
45,26.03.2026,Vergi & SGK,"₺100.000,00",vergi-sgk,Havale/EFT
46,28.3.2026,Temizlik,"₺10.000,00",temizlik,Nakit
47,31.3.2026,Kırtasiye-Fotokopi,"₺7.500,00",Deneme Sınavı,Havale/EFT
48,31.3.2026,Diğer,"₺20.000,00","İkramlar (çay/kahve), beklenmedik tadilatlar, muhasebe vb.",Havale/EFT
